Product ID,Product Name,Revenue,Profit,Quantity
FUR-BO-10000112,"Bush Birmingham Collection Bookcase, Dark Cherry",825.174,-117.882,9
FUR-BO-10000330,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",1064.624,24.19600000000004,10
FUR-BO-10000362,Sauder Inglewood Library Bookcases,2154.348,311.1836,14
FUR-BO-10000468,O'Sullivan 2-Shelf Heavy-Duty Bookcases,723.842,-133.1092,21
FUR-BO-10000711,"Hon Metal Bookcases, Gray",851.76,229.9752,12
FUR-BO-10000780,O'Sullivan Plantations 2-Door Library in Landvery Oak,2946.3668,-767.7436,22
FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,2970.059,-78.637,28
FUR-BO-10001519,O'Sullivan 3-Shelf Heavy-Duty Bookcases,1119.195,147.0942,22
FUR-BO-10001567,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",90.882,-190.8522,3
FUR-BO-10001601,"Sauder Mission Library with Doors, Fruitwood Finish",935.1972,-125.74080000000001,10
FUR-BO-10001608,"Hon Metal Bookcases, Black",1570.0776,-26.972400000000007,30
FUR-BO-10001619,O'Sullivan Cherrywood Estates Traditional Bookcase,424.90000000000003,27.19359999999998,6
FUR-BO-10001798,Bush Somerset Collection Bookcase,1263.9569999999999,-56.321399999999976,12
FUR-BO-10001811,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",5492.885,15.048999999999495,26
FUR-BO-10001918,"Sauder Forest Hills Library with Doors, Woodland Oak Finish",1014.174,-418.548,10
FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,2740.197,-975.0988,37
FUR-BO-10002202,"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",544.6148000000001,-310.8642,5
FUR-BO-10002206,"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",119.833,-12.6882,1
FUR-BO-10002213,DMI Eclipse Executive Suite Bookcases,11046.609,90.17639999999939,27
FUR-BO-10002213,"Sauder Forest Hills Library, Woodland Oak Finish",1875.034,-70.49,15
FUR-BO-10002268,Sauder Barrister Bookcases,754.7336,-294.7672,16
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",7539.7122,780.3302000000001,35
FUR-BO-10002598,"Hon Metal Bookcases, Putty",1320.228,362.7078,19
FUR-BO-10002613,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",5184.081,-126.44100000000003,27
FUR-BO-10002824,Bush Mission Pointe Library,748.8607999999999,24.156800000000004,6
FUR-BO-10002853,O'Sullivan 5-Shelf Heavy-Duty Bookcases,540.804,-12.290999999999997,9
FUR-BO-10002916,"Rush Hierlooms Collection 1"" Thick Stackable Bookcases",2487.759,410.352,15
FUR-BO-10003034,"O'Sullivan Elevations Bookcase, Cherry Finish",1912.308,-68.10959999999997,18
FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",1909.8178,-78.18639999999999,19
FUR-BO-10003272,O'Sullivan Living Dimensions 5-Shelf Bookcases,3420.7704,-755.7515999999999,21
FUR-BO-10003404,"Global Adaptabilites Bookcase, Cherry/Storm Gray Finish",3447.84,206.8703999999999,8
FUR-BO-10003433,Sauder Cornerstone Collection Library,322.192,-81.1676,14
FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",1809.9182,111.80139999999996,26
FUR-BO-10003450,"Bush Westfield Collection Bookcases, Dark Cherry Finish",649.376,-97.4064,14
FUR-BO-10003546,Hon 4-Shelf Metal Bookcases,1474.308,-191.86200000000002,22
FUR-BO-10003660,"Bush Cubix Collection Bookcases, Fully Assembled",729.2339999999999,48.6156,4
FUR-BO-10003893,Sauder Camden County Collection Library,1368.2620000000002,-103.482,16
FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",802.074,106.47,14
FUR-BO-10003965,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,1646.9180000000001,-285.9484,12
FUR-BO-10003966,"Sauder Facets Collection Library, Sky Alder Finish",1427.683,-8.549000000000031,10
FUR-BO-10004015,"Bush Andora Bookcase, Maple/Graphite Gray Finish",3317.7235,135.58869999999973,34
FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",3626.0056,-208.6504,34
FUR-BO-10004357,O'Sullivan Living Dimensions 3-Shelf Bookcases,2904.161,-170.83300000000008,17
FUR-BO-10004360,Rush Hierlooms Collection Rich Wood Bookcases,489.37919999999997,-70.8312,4
FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",858.858,-9.937200000000004,17
FUR-BO-10004467,Bestar Classic Bookcase,1897.8102,-612.9386999999999,31
FUR-BO-10004690,O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,1072.344,-78.36359999999999,9
FUR-BO-10004695,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,4886.46,566.4673999999999,31
FUR-BO-10004709,"Bush Westfield Collection Bookcases, Medium Cherry Finish",1426.8878,-20.293000000000006,32
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.9656,-669.5448000000002,24
FUR-CH-10000015,Hon Multipurpose Stacking Arm Chairs,6584.64,814.4160000000002,36
FUR-CH-10000155,Global Comet Stacking Armless Chair,3528.79,514.366,14
FUR-CH-10000225,"Global Geo Office Task Chair, Gray",2793.808,-360.36500000000035,41
FUR-CH-10000229,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,2032.35,-460.6660000000002,10
FUR-CH-10000309,Global Comet Stacking Arm Chair,6084.144,697.1415,17
FUR-CH-10000422,Global Highback Leather Tilter in Burgundy,2647.809,49.13459999999999,34
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.528,1927.442,51
FUR-CH-10000513,High-Back Leather Manager's Chair,4770.633,-197.5848,42
FUR-CH-10000553,"Metal Folding Chairs, Beige, 4/Carton",685.588,115.73539999999998,23
FUR-CH-10000595,Safco Contoured Stacking Chairs,5697.76,870.16,27
FUR-CH-10000665,"Global Airflow Leather Mesh Back Chair, Black",3955.676,573.7239999999997,32
FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,2207.956,231.6544000000001,13
FUR-CH-10000785,Global Ergonomic Managers Chair,6008.536,785.4532,39
FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,4626.582,750.7284,18
FUR-CH-10000863,Novimex Swivel Fabric Task Chair,2913.9139999999998,-445.391,25
FUR-CH-10000988,Hon Olson Stacker Stools,5294.456,833.5952,44
FUR-CH-10001146,"Global Task Chair, Black",463.099,-80.4062,12
FUR-CH-10001146,"Global Value Mid-Back Manager's Chair, Gray",1978.9250000000002,197.89249999999998,39
FUR-CH-10001190,Global Deluxe High-Back Office Chair in Storm,1744.472,-206.9692,16
FUR-CH-10001215,Global Troy Executive Leather Low-Back Tilter,12975.382,951.862,32
FUR-CH-10001270,Harbour Creations Steel Folding Chair,2670.465,446.0976,40
FUR-CH-10001394,Global Leather Executive Chair,5861.532999999999,701.9799999999998,21
FUR-CH-10001482,Office Star - Mesh Screen back chair with Vinyl seat,2200.464,-130.98000000000002,20
FUR-CH-10001545,Hon Comfortask Task/Swivel Chairs,1686.904,-36.4736,18
FUR-CH-10001708,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3989.734,425.75959999999986,32
FUR-CH-10001714,"Global Leather & Oak Executive Chair, Burgundy",1689.968,-114.6764,13
FUR-CH-10001797,"Safco Chair Connectors, 6/Carton",881.192,170.85119999999998,26
FUR-CH-10001802,Hon Every-Day Chair Series Swivel Task Chairs,967.84,12.097999999999992,10
FUR-CH-10001854,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5,1305.6456,28
FUR-CH-10001891,Global Deluxe Office Fabric Chairs,1420.504,229.3922,17
FUR-CH-10001973,Office Star Flex Back Scooter Chair with White Frame,1775.68,-228.61880000000002,21
FUR-CH-10002017,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,245.088,14.9184,12
FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,21870.576,1.1368683772161603e-13,39
FUR-CH-10002044,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",694.194,-158.48579999999998,7
FUR-CH-10002073,Hon Olson Stacker Chairs,5427.99,1292.1264,22
FUR-CH-10002084,Hon Mobius Operator's Chair,2705.7799999999997,499.3394,23
FUR-CH-10002126,Hon Deluxe Fabric Upholstered Stacking Chairs,2586.1879999999996,-48.7959999999997,15
FUR-CH-10002304,"Global Stack Chair without Arms, Black",901.5060000000001,44.166,44
FUR-CH-10002317,Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,207.184,25.898,1
FUR-CH-10002320,Hon Pagoda Stacking Chairs,6483.796,1540.7040000000002,22
FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,7582.374,832.9931999999998,24
FUR-CH-10002335,Hon GuestStacker Chair,6936.102,1233.0848,34
FUR-CH-10002372,Office Star - Ergonomically Designed Knee Chair,1311.876,-42.109599999999965,19
FUR-CH-10002439,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",1589.406,253.8392,31
FUR-CH-10002602,DMI Arturo Collection Mission-style Design Wood Chair,4619.987999999999,486.15560000000005,37
FUR-CH-10002647,"Situations Contoured Folding Chairs, 4/Set",3641.274,234.23400000000004,64
FUR-CH-10002758,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",1268.696,73.194,7
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",764.7,76.9798,19
FUR-CH-10002780,Office Star - Task Chair with Contemporary Loop Arms,600.4680000000001,47.3096,8
FUR-CH-10002880,"Global High-Back Leather Tilter, Burgundy",5436.158,-474.74140000000006,54
FUR-CH-10002961,"Leather Task Chair, Black",1437.4840000000002,54.588,19
FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",5989.204,267.3034000000001,39
FUR-CH-10003061,"Global Leather Task Chair, Black",1448.839,63.892899999999806,19
